Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
GFSA.SCS01G02121,2012.06,2782,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SCS01G02121,2013.06,2514,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SCS01G02121,2014.06,2618,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SCS01G02121,2015.06,2392,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SCS01G02121,2016.06,2049,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SCS01G02121,2017.06,2063,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SCS01G02121,2018.06,1992,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SCS01G02121,2019.06,2169,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SCS01G02121,2020.06,2178,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SCS01G02121,2021.06,2349,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SCS01G02121,2022.06,2486,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SCS01G02121,2023.06,2752,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SCS01G02140,2009.06,579,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SCS01G02140,2010.06,439,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SCS01G02140,2011.06,396,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SCS01G02140,2012.06,365,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SCS01G02140,2013.06,409,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SCS01G02140,2014.06,380,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SCS01G02140,2015.06,282,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SCS01G02140,2016.06,219,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SCS01G02140,2017.06,191,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SCS01G02140,2018.06,232,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SCS01G02140,2019.06,222,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SCS01G02140,2020.06,206,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SCS01G02140,2021.06,185,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SCS01G02140,2022.06,212,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other income,,,,
